Year,Animal Protein,Vegetal Protein,Fat,Carbohydrates,Sugar & Sweeteners,Fruit,Vegetables
1961,274.6246070934431,274.6246070934431,1052.7276605248653,2402.9653120676276,343.2807588668039,114.42691962226797,114.42691962226797
1962,276.7146195815562,276.7146195815562,1060.739375062632,2421.2529213386165,345.89327447694524,115.29775815898175,115.29775815898175
1963,277.3169265690309,277.3169265690309,1063.0482185146186,2426.5231074790204,346.64615821128865,115.54871940376289,115.54871940376289
1964,279.4452963467319,279.4452963467319,1071.206969329139,2445.146343033904,349.3066204334148,116.43554014447162,116.43554014447162
1965,281.0668048360521,281.0668048360521,1077.4227518715331,2459.334542315456,351.3335060450651,117.11116868168838,117.11116868168838
1966,282.0593561021751,282.0593561021751,1081.2275317250046,2468.0193658940325,352.5741951277189,117.52473170923963,117.52473170923963
1967,283.0260579896285,283.0260579896285,1084.933222293576,2476.4780074092496,353.7825724870356,117.92752416234521,117.92752416234521
1968,283.7868731365977,283.7868731365977,1087.849680356958,2483.13513994523,354.73359142074713,118.24453047358239,118.24453047358239
1969,285.00045834943296,285.00045834943296,1092.5017570061598,2493.754010557539,356.25057293679123,118.75019097893042,118.75019097893042
1970,286.4049126800004,286.4049126800004,1097.8854986066683,2506.0429859500036,358.0061408500005,119.3353802833335,119.3353802833335
1971,287.122030265907,287.122030265907,1100.6344493526435,2512.3177648266865,358.90253783238376,119.63417927746126,119.63417927746126
1972,286.40447650821676,286.40447650821676,1097.883826614831,2506.0391694468967,358.00559563527094,119.33519854509032,119.33519854509032
1973,287.73452775934044,287.73452775934044,1102.982356410805,2517.677117894229,359.6681596991756,119.88938656639186,119.88938656639186
1974,288.3335610813092,288.3335610813092,1105.2786508116853,2522.9186594614557,360.41695135163656,120.13898378387886,120.13898378387886
1975,288.104213108567,288.104213108567,1104.3994835828403,2520.9118646999614,360.13026638570875,120.0434221285696,120.0434221285696
1976,290.102061281598,290.102061281598,1112.0579015794592,2538.393036213983,362.62757660199753,120.87585886733252,120.87585886733252
1977,290.66287835217497,290.66287835217497,1114.2077003500042,2543.3001855815314,363.32859794021874,121.10953264673958,121.10953264673958
1978,293.14140110267005,293.14140110267005,1123.708704226902,2564.9872596483633,366.42675137833754,122.14225045944586,122.14225045944586
1979,294.6837765298145,294.6837765298145,1129.621143364289,2578.4830446358774,368.35472066226816,122.78490688742272,122.78490688742272
1980,296.1203313919382,296.1203313919382,1135.1279370024297,2591.052899679459,370.1504142399227,123.38347141330757,123.38347141330757
1981,296.360281777577,296.360281777577,1136.0477468140452,2593.1524655537987,370.45035222197123,123.48345074065708,123.48345074065708
1982,297.0557276667215,297.0557276667215,1138.7136227224325,2599.237617083814,371.3196595834019,123.77321986113398,123.77321986113398
1983,297.12283439545394,297.12283439545394,1138.9708651825736,2599.824800960222,371.40354299431743,123.80118099810582,123.80118099810582
1984,297.77010292425746,297.77010292425746,1141.4520612096537,2605.488400587253,372.21262865532185,124.07087621844062,124.07087621844062
1985,299.02154146308226,299.02154146308226,1146.2492422751488,2616.43848780197,373.7769268288528,124.59230894295095,124.59230894295095
1986,299.61350166915446,299.61350166915446,1148.518423065092,2621.6181396051015,374.51687708644306,124.83895902881437,124.83895902881437
1987,300.3862963649694,300.3862963649694,1151.480802732383,2628.3800931934825,375.48287045621174,125.16095681873726,125.16095681873726
1988,300.8305104610512,300.8305104610512,1153.1836234340296,2632.266966534198,376.038138076314,125.346046025438,125.346046025438
1989,300.8400497211344,300.8400497211344,1153.220190597682,2632.3504350599264,376.050062151418,125.35002071713934,125.35002071713934
1990,299.47654071306096,299.47654071306096,1147.9934060667338,2620.419731239284,374.3456758913262,124.78189196377542,124.78189196377542
1991,299.25392601036924,299.25392601036924,1147.1400497064155,2618.471852590731,374.06740751296155,124.68913583765386,124.68913583765386
1992,299.08998462686884,299.08998462686884,1146.5116077363307,2617.037365485103,373.8624807835861,124.62082692786203,124.62082692786203
1993,298.5006192852274,298.5006192852274,1144.252373926705,2611.88041874574,373.1257741065342,124.37525803551142,124.37525803551142
1994,299.4967306619164,299.4967306619164,1148.0708008706795,2620.5963932917684,374.3709133273955,124.79030444246517,124.79030444246517
1995,300.63718525004634,300.63718525004634,1152.442543458511,2630.5753709379055,375.7964815625579,125.26549385418599,125.26549385418599
1996,301.99271620738585,301.99271620738585,1157.638745461646,2642.436266814627,377.49089525923233,125.83029841974412,125.83029841974412
1997,302.6313314267167,302.6313314267167,1160.0867704690809,2648.0241499837716,378.2891642833959,126.09638809446531,126.09638809446531
1998,303.3332781537211,303.3332781537211,1162.7775662559309,2654.1661838450595,379.16659769215136,126.3888658973838,126.3888658973838
1999,304.3831559798789,304.3831559798789,1166.8020979228693,2663.3526148239407,380.4789449748486,126.82631499161621,126.82631499161621
2000,305.504296862627,305.504296862627,1171.09980464007,2673.162597547986,381.8803710782837,127.29345702609459,127.29345702609459
2001,306.74510645936425,306.74510645936425,1175.856241427563,2684.019681519437,383.4313830742053,127.8104610247351,127.8104610247351
2002,307.8518994290603,307.8518994290603,1180.098947811398,2693.704120004278,384.8148742863254,128.27162476210847,128.27162476210847
2003,308.8107631749393,308.8107631749393,1183.7745921706007,2702.0941777807193,386.0134539686741,128.6711513228914,128.6711513228914
2004,310.49369682564014,310.49369682564014,1190.2258378316205,2716.819847224351,388.1171210320502,129.37237367735005,129.37237367735005
2005,311.64006920469166,311.64006920469166,1194.6202652846514,2726.850605541052,389.55008650586456,129.85002883528819,129.85002883528819
2006,312.96687829376134,312.96687829376134,1199.7063667927519,2738.4601850704116,391.20859786720166,130.4028659557339,130.4028659557339
2007,314.25937154262346,314.25937154262346,1204.6609242467234,2749.7695009979557,392.82421442827933,130.94140480942644,130.94140480942644
2008,314.799608898716,314.799608898716,1206.7318341117445,2754.4965778637647,393.49951112339494,131.16650370779834,131.16650370779834
2009,315.40367064522957,315.40367064522957,1209.0474041400469,2759.782118145759,394.25458830653696,131.418196102179,131.418196102179
2010,317.74781419696444,317.74781419696444,1218.0332877550304,2780.293374223439,397.1847677462055,132.39492258206852,132.39492258206852
2011,318.7495832713356,318.7495832713356,1221.87340254012,2789.058853624187,398.43697908916954,132.8123263630565,132.8123263630565
2012,319.4658060433298,319.4658060433298,1224.6189231660978,2795.325802879136,399.33225755416225,133.1107525180541,133.1107525180541
2013,320.01071007542924,320.01071007542924,1226.707721955812,2800.0937131600062,400.01338759428654,133.3377958647622,133.3377958647622
2014,319.81696122364895,319.81696122364895,1225.9650180239878,2798.3984107069286,399.7712015295612,133.2570671765204,133.2570671765204
2015,320.04011982891876,320.04011982891876,1226.8204593441887,2800.3510485030392,400.05014978614844,133.35004992871617,133.35004992871617
2016,320.37308175383725,320.37308175383725,1228.0968133897095,2803.264465346076,400.46635219229654,133.48878406409887,133.48878406409887
2017,321.4169349797303,321.4169349797303,1232.0982507556328,2812.39818107264,401.77116872466286,133.92372290822095,133.92372290822095
2018,322.31015120667547,322.31015120667547,1235.522246292256,2820.2138230584105,402.88768900834435,134.2958963361148,134.2958963361148
2019,323.30362493281586,323.30362493281586,1239.330562242461,2828.906718162139,404.12953116601983,134.70984372200664,134.70984372200664
2020,323.74671144900043,323.74671144900043,1241.029060554502,2832.783725178754,404.68338931125055,134.8944631037502,134.8944631037502
